weekend,weekday,temperature_2m_max,temperature_2m_min,precipitation_hours
0.0,0.6666666666666666,0.4275862068965517,0.4497206703910615,0.13043478260869565
1.0,0.8333333333333333,0.5149425287356322,0.39944134078212296,0.0
1.0,1.0,0.5816091954022988,0.511173184357542,0.0
0.0,0.0,0.5954022988505747,0.6201117318435754,0.0
0.0,0.16666666666666666,0.6459770114942529,0.6061452513966481,0.043478260869565216
0.0,0.3333333333333333,0.48275862068965514,0.6201117318435754,0.17391304347826086
0.0,0.5,0.4206896551724138,0.5139664804469274,0.0
0.0,0.6666666666666666,0.4574712643678161,0.4189944134078213,0.0
1.0,0.8333333333333333,0.4436781609195402,0.3743016759776537,0.0
1.0,1.0,0.37241379310344824,0.5223463687150838,0.30434782608695654
0.0,0.0,0.4528735632183908,0.511173184357542,0.0
0.0,0.16666666666666666,0.4574712643678161,0.6005586592178771,0.43478260869565216
0.0,0.3333333333333333,0.5379310344827586,0.547486033519553,0.3913043478260869
0.0,0.5,0.4183908045977011,0.5139664804469274,0.5217391304347826
0.0,0.6666666666666666,0.45057471264367815,0.42458100558659223,0.21739130434782608
1.0,0.8333333333333333,0.46206896551724136,0.553072625698324,0.17391304347826086
1.0,1.0,0.4114942528735632,0.5195530726256984,0.2608695652173913
0.0,0.0,0.4160919540229885,0.4022346368715084,0.0
0.0,0.16666666666666666,0.4413793103448275,0.5698324022346369,0.043478260869565216
0.0,0.3333333333333333,0.4298850574712643,0.48882681564245817,0.0
0.0,0.5,0.4873563218390804,0.393854748603352,0.0
0.0,0.6666666666666666,0.45517241379310347,0.4748603351955308,0.0
1.0,0.8333333333333333,0.38850574712643676,0.46648044692737434,0.0
1.0,1.0,0.3218390804597701,0.4050279329608939,0.30434782608695654
0.0,0.0,0.34712643678160915,0.3770949720670391,0.2608695652173913
0.0,0.16666666666666666,0.3333333333333333,0.4329608938547486,0.6086956521739131
0.0,0.3333333333333333,0.3195402298850575,0.446927374301676,0.5217391304347826
0.0,0.5,0.35862068965517235,0.4134078212290503,0.5217391304347826
0.0,0.6666666666666666,0.4781609195402299,0.38547486033519557,0.0
1.0,0.8333333333333333,0.5632183908045977,0.511173184357542,0.0
1.0,1.0,0.5517241379310345,0.5363128491620113,0.0
0.0,0.0,0.5793103448275861,0.5083798882681565,0.0
0.0,0.16666666666666666,0.5701149425287356,0.5307262569832403,0.0
0.0,0.3333333333333333,0.4689655172413793,0.5754189944134078,0.13043478260869565
0.0,0.5,0.5931034482758621,0.5418994413407822,0.0
0.0,0.6666666666666666,0.6758620689655173,0.5726256983240224,0.0
1.0,0.8333333333333333,0.7011494252873562,0.6340782122905029,0.0
1.0,1.0,0.6896551724137931,0.6508379888268156,0.0
0.0,0.0,0.7103448275862068,0.6759776536312849,0.0
0.0,0.16666666666666666,0.7011494252873562,0.6731843575418994,0.0
0.0,0.3333333333333333,0.7103448275862068,0.6675977653631285,0.0
0.0,0.5,0.6988505747126437,0.7234636871508381,0.13043478260869565
0.0,0.6666666666666666,0.6436781609195402,0.6312849162011174,0.043478260869565216
1.0,0.8333333333333333,0.48505747126436777,0.5782122905027933,0.0
1.0,1.0,0.3931034482758621,0.5307262569832403,0.4782608695652174
0.0,0.0,0.4528735632183908,0.5307262569832403,0.0
0.0,0.16666666666666666,0.4183908045977011,0.553072625698324,0.21739130434782608
0.0,0.3333333333333333,0.5747126436781609,0.5558659217877095,0.0
0.0,0.5,0.632183908045977,0.6787709497206704,0.0
0.0,0.6666666666666666,0.6551724137931034,0.6675977653631285,0.0
1.0,0.8333333333333333,0.6827586206896552,0.7486033519553073,0.17391304347826086
1.0,1.0,0.8,0.7234636871508381,0.0
0.0,0.0,0.7333333333333332,0.8184357541899442,0.17391304347826086
0.0,0.16666666666666666,0.6229885057471265,0.7569832402234637,0.17391304347826086
0.0,0.3333333333333333,0.5080459770114942,0.7318435754189945,0.043478260869565216
